#
"rh(51)"	"Normalforce"	"DATAN(TANDJA(1,1))"	"a(1,1)"	"b(1,1)"	"BJA(2,1,1)+0,75"	"R0J(1,1)"	"c11"	"c22"	"c23"	"BJA(3,1,1)"	"Penetration"	"BJA(2,1,1)+0.75+rh(51)"
-1.7000000000e-02 6.6604470702e+04 4.3652537000e-02 6.5693100000e-03 3.5227100000e-03 7.7517370700e-01 4.2454303000e-01 5.0797987282e+00 4.8039449537e+00 2.4918722160e+00 -5.2853178000e-05 1.1849300000e-04 0.0000000000e+00
-1.6990000000e-02 6.6604438530e+04 4.3663594000e-02 6.5687400000e-03 3.5238900000e-03 7.7516765600e-01 4.2454328000e-01 5.0790504489e+00 4.8029725010e+00 2.4909231584e+00 -5.2816988000e-05 1.1849200000e-04 0.0000000000e+00
-1.6980000000e-02 6.6604417497e+04 4.3670821000e-02 6.5681900000e-03 3.5250900000e-03 7.7516159900e-01 4.2454354000e-01 5.0782846801e+00 4.8019850629e+00 2.4899749150e+00 -5.2780971000e-05 1.1849100000e-04 0.0000000000e+00
-1.6970000000e-02 6.6604407586e+04 4.3674226000e-02 6.5676600000e-03 3.5262800000e-03 7.7515553500e-01 4.2454379000e-01 5.0775446436e+00 4.8010235129e+00 2.4890375620e+00 -5.2744996000e-05 1.1848900000e-04 0.0000000000e+00
-1.6960000000e-02 6.6604408788e+04 4.3673813000e-02 6.5671700000e-03 3.5274800000e-03 7.7514946400e-01 4.2454404000e-01 5.0768017188e+00 4.8000564224e+00 2.4881110908e+00 -5.2708995000e-05 1.1848800000e-04 0.0000000000e+00
-1.6950000000e-02 6.6604421083e+04 4.3669589000e-02 6.5667300000e-03 3.5286700000e-03 7.7514338700e-01 4.2454429000e-01 5.0760925993e+00 4.7991350056e+00 2.4872109557e+00 -5.2672876000e-05 1.1848700000e-04 0.0000000000e+00
-1.6940000000e-02 6.6604444454e+04 4.3661558000e-02 6.5663200000e-03 3.5298700000e-03 7.7513730400e-01 4.2454454000e-01 5.0753726175e+00 4.7982048803e+00 2.4863164954e+00 -5.2636743000e-05 1.1848500000e-04 0.0000000000e+00
-1.6930000000e-02 6.6604478880e+04 4.3649726000e-02 6.5659300000e-03 3.5310700000e-03 7.7513121400e-01 4.2454479000e-01 5.0746534437e+00 4.7972765128e+00 2.4854114381e+00 -5.2600653000e-05 1.1848300000e-04 0.0000000000e+00
-1.6920000000e-02 6.6604524335e+04 4.3634098000e-02 6.5655300000e-03 3.5322700000e-03 7.7512511800e-01 4.2454504000e-01 5.0739478216e+00 4.7963613802e+00 2.4845344822e+00 -5.2564631000e-05 1.1848100000e-04 0.0000000000e+00
-1.6910000000e-02 6.6604580786e+04 4.3614682000e-02 6.5651400000e-03 3.5334700000e-03 7.7511901500e-01 4.2454529000e-01 5.0732350753e+00 4.7954344379e+00 2.4836417688e+00 -5.2528690000e-05 1.1847800000e-04 0.0000000000e+00
